Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,4592.55051,4730.9573199999995,4419.254836,4218.802181,4162.589612,4332.467152,5114.403695000001,6208.797111999999,6978.469136,7305.0785223600005,7244.7891642,7159.111762900001,7107.1766103,7079.5244107,7075.5828669,7083.567466099999,7116.352512099999,7590.2413639,7490.41551927,7233.952979,6697.630982000001,6091.112974,5393.7714590000005,5253.128706
2014,7,2,4282.615534,4413.584025,4155.43757,4015.417336,3961.605077,4064.775125,4591.559515999999,5335.693126,6095.91621,6321.47522536,5977.6834722,5824.6499238999995,5666.4055043,5854.518336700001,5611.6379469,5486.464404099999,5647.2257761,6503.8186699,6698.20340727,6277.698176,5850.115403,5346.880741,4833.970462,4803.483216
2014,7,3,4447.159396999999,4561.6678919999995,4243.251789,4077.825718,4027.074073,4167.53265,4756.6278999999995,5555.230398000001,6207.298626,6368.81771536,6182.4836162,6053.2280289,6075.9941112999995,6110.227041700001,6038.9929239,6256.9125231,6453.837279099999,7019.9957999,7092.6199832699995,6631.3073269999995,6236.065914999999,5679.164489,5118.230309,5061.688695999999
2014,7,4,4744.279501,4883.539527,4561.899659000001,4396.185471,4367.125464000001,4487.888347,5016.81252,5785.42058,6593.19494,6777.203265360001,6584.9710142,6301.092551900001,6138.7251172999995,6132.4658417,5917.1136629,5830.2773671,5979.105286100001,6781.1904239,6913.075382270001,6461.156096,6034.450739,5474.005599000001,5090.937031,5149.4711210000005
2014,7,5,4752.934276999999,4807.867353,4486.517615,4334.98578,4228.590483,4238.698555,4372.228627,4492.742398,4820.769179000001,5073.95807536,4995.2867762,4835.2556789,4712.2533613,4747.1433137,4657.5259289000005,4715.3228321,4863.083587100001,5563.0580139,5879.796016270001,5518.984670999999,5222.106349000001,5026.455463,4832.124709000001,4923.867048
2014,7,6,4667.333475,4792.0098689999995,4502.015773,4318.913912,4226.669389000001,4203.939792,4210.777561,4280.544866,4517.369001999999,4727.267797360001,4730.3925932,4658.2144389000005,4577.9389113,4608.1946477,4585.8598009,4688.9651421,4921.6186611,5676.0993719,6172.81168427,5880.662467,5597.852253,5240.437078000001,4876.8715,4887.200364
2014,7,7,4666.111878,4789.208654,4518.718973000001,4375.634861,4330.129959,4476.5834540000005,5000.32319,5928.547769,6740.49679,6959.57180136,6716.187828200001,6688.3752609,6693.0092483,6631.4622497,6371.1763649,6279.3286210999995,6444.4452021,7160.7339309,7268.61355127,6881.127458,6468.577989,5842.118281,5094.850724,5039.574653000001
2014,7,8,4660.821959999999,4849.372112999999,4524.944093,4327.393572,4293.192938,4473.8388429999995,5213.753405,6240.127931999999,6873.045633,6941.80723336,6668.966612200001,6217.8795489,6012.4941063,6054.633832699999,5823.1851329,5757.2214721,6007.576305099999,6927.045740899999,7297.88820627,6965.867315,6674.42551,6141.566832,5398.470013000001,5173.556568
2014,7,9,4742.785534,4889.174025,4579.80757,4360.407336,4296.525077,4438.425125,5186.809515999999,6267.243126,7033.276210000001,7164.575225359999,6790.4334722,6278.5199239,6020.9155043,6034.1983367,5837.9379469,5680.6844040999995,5866.7257761,6831.3786699,7163.133407269999,6864.618176,6498.555402999999,5900.040741,5138.070462,5034.363216
2014,7,10,4629.239396999999,4757.477892,4406.051789,4206.285718,4152.774073,4277.65265,5018.6479,6063.570398,6836.508626,6966.81771536,6576.0636162,6089.628028900001,5944.4441113,5867.227041700001,5764.9229239,5664.682523099999,5736.9572791,6648.7057999,7080.199983269999,6787.1373269999995,6455.365914999999,5822.424489,5248.0203089999995,5203.4486959999995
2014,7,11,4713.458250999999,4795.2468229999995,4450.676415000001,4244.51055,4159.82121,4269.860570000001,4923.239767,5797.422418,6551.28316,6703.524136360001,6425.8947362,6136.0346169,5958.574870299999,5800.963746699999,5949.9994219,5850.7170441,6028.2432031,6789.4788799,6812.00615527,6278.585614,5860.798944,5351.66956,5004.178139000001,5030.738659000001
2014,7,12,4576.718621,4670.327701,4349.781288,4165.693603,4085.5990340000003,4088.0460909999997,4263.6682200000005,4469.3569609999995,4920.269439,5199.80090836,5111.8402482,5076.3050159,5010.3078993,4891.6499597,4742.2303889,4763.0966401,4855.7647791,5505.6449539,5780.641907270001,5334.109515,5059.11172,4747.897476,4613.072496000001,4709.908339
2014,7,13,4430.337455,4541.988261999999,4347.921352,4222.083008,4154.409708,4179.09077,4223.522335,4289.813502,4492.203270999999,4601.22895936,4577.159985200001,4482.686773900001,4390.5989782999995,4417.962161699999,4418.202510900001,4449.2246921,4740.8987991,5538.2745599,6007.26704727,5639.329865,5408.215080000001,5104.979767000001,4771.5535390000005,4735.3197230000005
2014,7,14,4577.838585999999,4744.453551,4528.415967,4412.091410999999,4379.2140469999995,4512.809067,5075.518426,6149.455083999999,6891.700071,6916.06849236,6652.9905692,6466.285353900001,6372.2212013,6292.8391097,6151.7058819,6177.5929251,6673.9241711,7469.0445649,7562.01034027,7087.742314,6667.317747000001,5939.1832620000005,5219.9611970000005,5174.173765
2014,7,15,4850.866849,5052.66882,4738.442071,4590.348914,4526.836542,4698.788894,5406.267182,6617.539954,7125.243466,7077.366768360001,6875.9255782,6669.2052609,6444.232091299999,6368.2925227,6288.004126899999,6224.0176571,6500.6174141,7277.3620229,7505.88910327,7137.767826,6760.225311000001,6037.322714,5240.131063000001,5098.341181000001
2014,7,16,4724.1285689999995,4877.899661999999,4545.582269,4370.702325,4298.9613420000005,4482.479012000001,5265.763694,6570.219106,7035.303024,6891.68858136,6599.377505200001,6377.4278449,6271.9590663,6311.6061147,6110.1800269,5952.441597099999,6198.0070190999995,7019.5705628999995,7337.83016527,6948.726106,6644.62616,6035.105717,5234.570296,5126.450671
2014,7,17,4792.1786139999995,4998.9553909999995,4660.8952150000005,4433.49585,4348.7013879999995,4551.16384,5332.682865999999,6623.871566999999,7126.915549,6981.42183936,6663.1132272,6341.7356709000005,6140.813206299999,6132.9589297,6066.6399369,5864.265438099999,6002.881219100001,6840.1464029,7321.429979269999,6997.702190999999,6684.090638999999,6148.481869,5334.618073,5192.780252
2014,7,18,4770.058676,4913.621692,4586.798708,4373.108086,4315.697381999999,4506.655589,5385.491237,6727.460709999999,7233.224929,7121.857205360001,6701.0951652,6326.4146489,6091.852295299999,6077.990522700001,5814.4084459000005,5572.7030011,5802.5105871,6671.9608669,7036.682551270001,6670.863054999999,6260.8440040000005,5647.406712000001,5047.540112,5170.635385
2014,7,19,4749.819866999999,4810.262092,4364.102346,4205.927983,4129.81221,4167.952449,4329.907754,4491.414186,4896.17071,5145.576397360001,5006.484104200001,4782.870851900001,4564.7522743,4401.2824797,4319.8383759,4403.7086091,4661.0916401,5488.957103899999,5941.59518027,5370.714267,5171.922272000001,4939.818039000001,4719.213101,4831.061401
2014,7,20,4579.8517759999995,4693.58861,4446.963292,4274.93016,4151.195328,4119.319696,4138.479366,4191.101653,4407.626169,4533.921507360001,4426.847511200001,4269.0806639,4142.8484073,4081.3026567,3998.2815079,4026.9632050999994,4203.152302099999,4865.0590499,5596.49674927,5373.176471,5211.326768000001,4960.034530000001,4709.9566110000005,4634.619704000001
2014,7,21,4438.642722999999,4602.235087,4368.399192,4240.105481,4209.718518000001,4361.184832,4966.708412,5935.8239379999995,6355.934148,6270.37097236,6001.3630201999995,5810.511236900001,5604.677830299999,5562.7538317,5488.4649399,5316.575447099999,5471.7272631,6246.2616259,6728.2549882700005,6237.711377,5892.313693000001,5353.529065000001,4876.752134,4859.796215
2014,7,22,4587.098720999999,4747.708262,4480.308582000001,4277.117396,4224.438487,4344.92576,4953.859367,5906.596028,6199.5052,6095.41878136,5857.824174200001,5870.0710129,5743.3072452999995,5566.2912867,5303.9128379,5423.6722391,5555.2892790999995,6405.7938369,6750.93033827,6336.583635999999,5823.88774,5341.777290000001,4900.931412,4852.349583
2014,7,23,4529.134915999999,4666.100372999999,4392.32289,4199.903792,4158.497891,4286.156838,4847.11277,5762.86239,6165.531666,6057.5615643599995,5788.397993200001,5746.328726900001,5759.3760923,5805.6208147,5790.743103899999,5920.677706099999,6332.640429100001,6965.8476389,7110.12466727,6723.858044999999,6308.521989,5640.8926790000005,5044.188937999999,5029.733112
2014,7,24,4692.463408999999,4804.377493999999,4537.976540000001,4392.874609,4328.426376,4482.245724,5220.814198,6547.230858999999,6938.360130000001,6909.58889736,6594.7052482,6423.627604900001,6219.9261503,6246.9713177,6067.5162519,5934.576046099999,6127.5778551,6919.041831899999,7391.78527727,7186.172388,6897.537263,6230.600703,5444.3698,5388.797103
2014,7,25,5006.276046999999,5175.383261999999,4802.595951,4546.311402,4425.443662,4563.875628000001,5454.620454999999,6783.3795709999995,7179.792818000001,6989.21436236,6556.439591200001,6143.701500900001,5827.1337413,5832.6215237,5702.5514299,5620.816716099999,5791.559155100001,6560.7076928999995,6877.260136270001,6515.728075999999,6152.823507000001,5574.5966020000005,5131.673581,5167.052286
2014,7,26,4726.569344,4787.6737729999995,4399.103369000001,4180.825184,4058.7973380000003,4055.0451249999996,4196.605366000001,4390.962211999999,4814.725331000001,5013.63361936,4922.4280522,4789.0875969,4532.6740483,4397.669664700001,4333.8512959,4297.8907881000005,4463.4037290999995,5095.1679389,5921.34104427,5577.160554,5233.814542,5001.943679000001,4803.356321,4879.5384220000005
2014,7,27,4617.179955999999,4796.065267,4519.5651210000005,4344.420798,4218.3073540000005,4231.717007,4309.874967,4400.459877,4674.7950120000005,4824.231199360001,4817.2875112,4666.3683999,4563.7961803,4496.3103777,4358.7025539,4352.6411051000005,4514.5214341,5343.133220899999,6011.808852270001,5728.092158999999,5479.753019000001,5016.186368000001,4580.555864000001,4540.051477
2014,7,28,4318.813102,4492.35038,4258.314856000001,4095.1889819999997,4046.27487,4172.298878,4844.3410140000005,6093.897961999999,6686.851923,6513.255782360001,6462.7131312,6095.952269900001,5987.1993293,6019.7901227,5884.5098849000005,5793.1166631,6083.8070981,6841.791238899999,7138.42954627,6799.371386,6379.716502,5646.265336,5005.817444,4906.081160000001
2014,7,29,4556.2389729999995,4732.803544,4422.023512000001,4213.418046,4143.786081,4309.346467,5121.367887,6387.806511,6828.6998889999995,6705.52088136,6358.2611252,6091.444693900001,5921.067208299999,6007.582251700001,6063.7545899,5933.6543831,6089.306521099999,6784.458964899999,7205.22251927,6839.764577999999,6443.733803,5826.967352000001,5123.486678,5048.625569
2014,7,30,4733.357547,4852.70794,4566.982796,4380.049403,4278.429048,4378.207418,5128.668939,6327.148963,6771.945718,6721.53883236,6376.308076200001,6202.4513999,6025.8410773,6047.4083687,5903.1064279,5822.861982099999,6117.966250099999,6691.627132899999,6957.48490327,6514.83403,6084.244777,5555.67551,4955.111784,4936.7097459999995
2014,7,31,4636.1821279999995,4812.781042,4518.935475,4290.666252999999,4208.369845,4364.727833000001,5073.975847,6209.531045000001,6642.962037,6551.807122360001,6196.059247200001,5986.138450900001,5804.290727299999,5907.5202017,5917.1657919,5892.024289099999,6191.852514099999,6832.2301909,7038.913754269999,6624.178808,6237.472068,5575.1464510000005,4909.497885999999,4862.534301
2014,8,1,4525.985901,4684.324690999999,4377.129487,4185.530723,4107.630092,4251.796612,5019.235363,6044.607137,6438.394808420001,6337.35982391,5964.1307092,5753.046553300001,5616.4952619,5726.3157892,5603.428532,5385.1441642,5479.7395053,6229.355823899999,6677.78883468,6393.772582,5951.938308000001,5389.6203860000005,4976.9503,5039.724233
2014,8,2,4662.606720999999,4824.949397999999,4497.852699000001,4286.828816,4120.71448,4133.888968,4311.1057120000005,4525.174234,4866.243340420001,5044.834372910001,4902.7514172,4748.1908433,4599.586546900001,4556.8026332,4456.119933999999,4484.012762200001,4667.2293103,5340.6834989,5900.43220568,5552.6074849999995,5229.357281,4947.768253000001,4650.135529,4717.673707000001
2014,8,3,4507.642963999999,4610.750383,4339.247158000001,4135.527077,3978.905578,3957.023478,3978.3652829999996,4026.375545,4276.126028420001,4364.61823891,4322.7299872,4279.0647543000005,4191.5298289,4142.4815692,4063.9922600000004,4096.5496492,4283.790843299999,4910.897383899999,5411.697645679999,5270.898888,5094.447292,4763.040694,4502.147181,4491.173812000001
2014,8,4,4316.596206,4441.256912999999,4205.647731,4021.703773,3976.474571,4111.36981,4766.478345,5851.035289,6335.32037442,6352.77256291,6138.8710782,5877.7288893,5722.416873900001,5747.416945200001,5608.005064,5483.9342342,5730.1564953,6538.1825499,7020.441569680001,6723.220355,6356.777342,5691.280654,5031.337714,4947.734627000001
2014,8,5,4717.029640999999,4899.6293399999995,4617.103370000001,4410.22149,4365.5303730000005,4554.637257,5317.980147,6551.234925,7057.849937420001,6947.953917909999,6775.0482231999995,6521.0878693,6262.7369719,6243.6108832,6201.476145,6119.3653612,6447.4574743,7168.9371169,7460.0727726800005,7125.406282999999,6733.328439000001,5946.081185000001,5211.633819000001,5068.552426
2014,8,6,4619.783979,4691.364421,4381.190151000001,4208.082103000001,4171.539937,4333.876104,5114.640693,6309.833982,6716.27083142,6681.03306991,6359.9635642,6024.9366233,5793.1673519000005,5852.1862872,5701.058295,5701.7200551999995,5874.440026300001,6513.3744039,6941.30466768,6626.864878,6219.213701,5535.2357010000005,4861.459713,4793.323178999999
2014,8,7,4451.693927999999,4555.225571999999,4269.65962,4076.531305,3963.5029170000003,4078.452298,4691.24208,5657.343137,5953.98264042,5720.73422891,5504.422165200001,5472.7367103,5325.739503900001,5280.035920200001,5172.278636,5027.3225682,5204.176365300001,5767.3937929,6262.47104968,5829.099275999999,5452.56342,4971.299093,4527.951316,4523.298525
2014,8,8,4307.398432999999,4422.6264,4190.587969,4033.950216,3988.070557,4125.938626,4630.770524,5527.68765,6071.59268942,5973.64191391,5875.7194122,5494.5376783,5644.4663169000005,5722.2102862,5623.077626,5437.8787212,5588.674271300001,6270.040937899999,6867.81902668,6617.401731,6334.23895,5939.706652000001,5483.686895000001,5521.9055
2014,8,9,5100.427708,5236.265718999999,4801.306186000001,4562.734419,4458.09713,4471.818924,4674.750175,4866.551066999999,5339.7074144200005,5480.52197891,5177.9870162,4879.2151523,4666.5550339,4545.9435992,4423.525218,4420.3377282,4594.4450243,5188.3403609,5999.784591680001,5745.752732999999,5431.054547,5169.520765,4925.057248,4983.554774
2014,8,10,4732.37377,4867.778861,4534.636467,4341.703495,4180.158875,4111.405382,4093.6725260000003,4125.09238,4396.543986420001,4583.21960991,4595.3232952,4474.9543493,4366.187829900001,4326.6082002,4297.209344,4363.8741072,4610.138923299999,5345.6421719,6077.23007668,5892.689332,5561.249111,5149.375304,4658.358891,4591.357872
2014,8,11,4388.998632999999,4608.013700999999,4308.259907000001,4143.2027689999995,4074.7017849999997,4203.981559,4908.267927,5997.226250999999,6475.23846742,6608.41524191,6391.0314712,6271.3023772999995,6182.282484900001,6308.5591312,5993.149233,6055.9897942,6275.3072783,6893.5732459,7189.792871680001,6774.253132999999,6361.612837000001,5613.159637,4814.652911,4766.0132490000005
2014,8,12,4384.845883999999,4559.7828899999995,4264.348157,4074.940428,4047.258044,4178.3026820000005,4934.382033,6226.6162429999995,6749.20087442,6824.19264091,6639.2561232,6440.820480300001,6326.999459900001,6324.0608842,6151.565829000001,6138.2951422,6350.662688299999,6711.6702439,7107.4167536800005,6800.800587,6458.982644000001,5824.92043,5161.391181,5127.812842
2014,8,13,4781.937319999999,4937.2996969999995,4584.632104,4398.567156,4317.470219,4468.760424,5353.82755,6581.8595399999995,7058.612201420001,7027.34210591,6815.3721602000005,6651.6581213,6464.023164900001,6468.8498162,6347.012716,6233.136202199999,6417.8607253,6845.1663349,7189.695995679999,6851.913804999999,6387.179066999999,5653.31522,4949.003914999999,4886.577071999999
2014,8,14,4543.925813,4682.452225999999,4365.3792650000005,4173.743939999999,4108.4159199999995,4279.186902,5081.123072,6149.383084,6511.26763442,6318.34759091,5929.848020200001,5692.6678183,5424.035342900001,5325.0248552,5126.427032,5127.6311622,5320.330097299999,5978.2557259,6634.80572068,6425.602967,6009.704675,5321.275603,4811.164518,4796.183352
2014,8,15,4426.815909999999,4575.506611999999,4283.471948,4130.1083579999995,4095.28038,4263.919585000001,4980.434301,5976.045904,6367.88813542,6289.50098091,5934.7566701999995,5630.1551973000005,5444.107651900001,5289.8233352,5080.931566,4923.5688442,4950.982079300001,5392.3021539,5996.62573868,5769.1626209999995,5402.5281190000005,4974.40755,4623.507761000001,4675.494319
