Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2014,7,1,4703.61947945,4411.31877945,4232.7627794499995,4191.58477945,4251.99217945,4614.24877945,5372.42547945,6238.75717945,6461.14286829,6131.72409425,5745.543199950001,5433.0118228500005,5278.147208150001,5178.59391225,5186.409927150001,5318.6607100500005,5848.55254185,6609.42998125,7033.73111787,6984.87277945,6887.15277945,6309.99417945,5525.00277945,5086.982179449999
2014,7,2,4576.19947945,4266.23877945,4104.0127794499995,4065.53477945,4135.30217945,4462.0087794500005,5145.01547945,5987.17717945,6113.2228682899995,5748.23079425,5333.66979995,5068.87852285,4954.45390815,4896.0539122499995,4915.32662715,4998.515410049999,5259.3445418500005,5932.37128125,6248.43111787,6030.39817945,5829.74947945,5408.266779449999,5049.21347945,4803.9754794499995
2014,7,3,4471.54947945,4210.48877945,4059.44277945,4010.68477945,4051.47217945,4347.15877945,4925.99547945,5515.26717945,5665.59286829,5421.90079425,5161.46979995,4924.848522849999,4825.58390815,4796.283912249999,4946.646627149999,5111.4354100499995,5263.3845418500005,5941.1512812500005,6369.06111787,6417.04817945,6295.00947945,5696.61677945,5297.12347945,4956.99547945
2014,7,4,4574.12947945,4304.69877945,4149.50277945,4090.40477945,4149.72217945,4506.28877945,5164.23547945,5964.65717945,6191.66286829,5866.574094250001,5495.843199950001,5142.7618228500005,4951.54720815,4878.58391225,4852.5599271500005,4901.6207100500005,5235.4825418499995,5914.61998125,6338.05111787,6297.382779449999,6224.302779449999,5746.83417945,5352.80277945,5072.1921794499995
2014,7,5,4678.07947945,4343.10877945,4155.75277945,4094.15477945,4110.95217945,4242.20877945,4530.77547945,5064.937179449999,5414.23286829,5318.06409425,4993.73319995,4614.5118228500005,4343.88720815,4212.77391225,4194.29992715,4346.3707100500005,4750.95254185,5656.70998125,6169.95111787,6132.37277945,6017.92277945,5594.15417945,5263.75277945,5019.41217945
2014,7,6,4709.3994794499995,4387.98877945,4202.122779449999,4120.02477945,4132.41217945,4211.9687794500005,4413.26547945,4838.37717945,5187.84286829,5102.83409425,4850.23319995,4587.70182285,4379.487208150001,4261.13391225,4263.039927150001,4409.39071005,4889.30254185,6047.25998125,6540.92111787,6504.81277945,6402.98277945,5873.33417945,5301.05277945,4972.722179449999
2014,7,7,4680.29947945,4429.55877945,4242.90277945,4179.73477945,4234.602179449999,4606.23877945,5434.80547945,6514.32717945,6711.07286829,6278.67409425,5797.3731999500005,5360.0518228500005,5112.7272081500005,4961.67391225,4919.709927150001,5042.90071005,5549.59254185,6488.11998125,6854.93111787,6803.74277945,6639.89277945,6034.01417945,5384.95277945,4993.932179449999
2014,7,8,4692.189479449999,4386.97877945,4190.31277945,4120.1647794499995,4167.72217945,4546.27877945,5208.14547945,6105.9871794499995,6452.38286829,6219.89409425,5934.183199950001,5753.49182285,5507.05720815,5426.60391225,5505.569927150001,5632.46071005,6096.89254185,6773.56998125,7144.40111787,6987.91277945,6853.90277945,6255.5941794499995,5585.94277945,5110.79217945
2014,7,9,4696.34947945,4387.18877945,4197.302779449999,4135.34477945,4170.17217945,4542.33877945,5252.16547945,6115.36717945,6350.70286829,6026.20079425,5637.69979995,5275.81852285,5038.51390815,4987.453912249999,4945.20662715,5033.37541005,5531.04454185,6451.531281250001,6867.4511178699995,6742.2681794499995,6640.479479449999,6019.136779449999,5458.76347945,5057.35547945
2014,7,10,4699.41947945,4379.28877945,4188.552779449999,4140.84477945,4194.18217945,4535.07877945,5228.82547945,6146.357179449999,6367.04286829,5997.1207942500005,5555.93979995,5244.94852285,5060.67390815,4951.443912249999,4918.57662715,4935.11541005,5297.82454185,6239.55128125,6814.9111178699995,6828.90817945,6725.08947945,6140.476779449999,5530.7834794499995,5123.0154794499995
2014,7,11,4740.29947945,4432.5487794499995,4204.2627794499995,4143.79477945,4209.91217945,4558.178779450001,5207.22547945,6025.92717945,6266.09286829,5888.17409425,5525.02319995,5202.351822850001,4836.38720815,4752.13391225,4722.319927150001,4805.81071005,5200.88254185,5947.92998125,6424.27111787,6415.70277945,6337.89277945,5880.77417945,5451.30277945,5111.59217945
2014,7,12,4660.17947945,4322.84877945,4132.54277945,4098.84477945,4104.41217945,4213.5087794500005,4500.56547945,4955.25717945,5271.9328682899995,5170.67409425,4875.973199950001,4572.54182285,4318.577208150001,4185.75391225,4191.409927150001,4338.72071005,4721.01254185,5391.66998125,5779.76111787,5792.922779449999,5676.5127794499995,5356.96417945,5070.23277945,4913.67217945
2014,7,13,4606.979479449999,4305.78877945,4140.9327794499995,4048.54477945,4065.9021794500004,4132.358779450001,4312.53547945,4691.88717945,4984.90286829,4860.034094250001,4655.98319995,4401.5118228500005,4211.30720815,4107.13391225,4097.289927150001,4233.27071005,4603.9825418499995,5385.02998125,6097.93111787,6072.31277945,6004.04277945,5519.87417945,5114.63277945,4799.432179449999
2014,7,14,4521.21947945,4306.70877945,4166.23277945,4105.71477945,4143.34217945,4526.39877945,5290.70547945,6261.07717945,6370.26286829,5941.664094250001,5598.11319995,5269.601822850001,5076.367208150001,5006.65391225,4982.539927150001,5095.03071005,5357.4425418499995,6073.52998125,6481.87111787,6311.06277945,6141.75277945,5600.47417945,5186.57277945,4898.272179449999
2014,7,15,4585.73947945,4313.11877945,4125.98277945,4105.71477945,4141.30217945,4496.74877945,5270.00547945,6397.5271794499995,6315.15286829,5830.68409425,5527.52319995,5331.99182285,5182.04720815,5066.16391225,4974.989927150001,5012.20071005,5375.67254185,6301.28998125,6851.91111787,6811.77277945,6706.88277945,6096.64417945,5461.25277945,5046.78217945
2014,7,16,4685.45947945,4416.55877945,4206.882779449999,4186.784779449999,4265.28217945,4640.98877945,5562.59547945,6741.25717945,6392.4328682899995,6008.36079425,5490.71979995,5101.37852285,4899.74390815,4829.333912249999,4876.15662715,4948.175410049999,5372.3445418500005,6389.25128125,7015.7411178699995,7016.88817945,6890.559479449999,6443.65677945,5709.09347945,5183.39547945
2014,7,17,4775.29947945,4435.81877945,4238.922779449999,4179.73477945,4224.852179449999,4604.888779450001,5480.17547945,6648.20717945,6500.69286829,5908.7907942500005,5484.78979995,5181.19852285,4994.46390815,4894.083912249999,4886.58662715,4992.795410049999,5512.82454185,6585.3212812500005,7339.63111787,7423.23817945,7304.479479449999,6756.186779449999,5932.45347945,5321.10547945
2014,7,18,4882.74947945,4579.24877945,4372.042779449999,4283.234779449999,4340.312179449999,4779.428779450001,5829.66547945,7013.607179449999,6914.73286829,6321.55409425,5792.86319995,5416.86182285,5061.13720815,4850.94391225,4814.209927150001,4884.02071005,5268.89254185,6213.95998125,6856.86111787,6945.31277945,6900.44277945,6442.12417945,5796.47277945,5383.59217945
2014,7,19,4894.96947945,4566.23877945,4334.872779449999,4223.814779449999,4229.54217945,4382.99877945,4731.14547945,5343.30717945,5786.82286829,5581.00409425,5082.093199950001,4667.16182285,4402.407208150001,4261.75391225,4244.5599271500005,4369.30071005,4745.42254185,5577.82998125,6206.36111787,6246.28277945,6154.092779449999,5741.24417945,5381.79277945,5113.91217945
2014,7,20,4776.40947945,4480.51877945,4225.2627794499995,4143.9147794499995,4130.27217945,4187.768779450001,4396.63547945,4846.04717945,5128.25286829,4994.42409425,4753.843199950001,4509.27182285,4305.59720815,4191.38391225,4173.239927150001,4260.36071005,4617.21254185,5458.39998125,6224.86111787,6216.37277945,6086.75277945,5603.06417945,5215.29277945,4921.09217945
2014,7,21,4606.76947945,4346.02877945,4185.92277945,4120.18477945,4172.21217945,4551.79877945,5475.96547945,6776.47717945,6658.39286829,6092.574094250001,5635.90319995,5328.62182285,5113.997208150001,5036.68391225,5004.499927150001,5109.72071005,5352.63254185,6196.12998125,6692.10111787,6614.07277945,6499.92277945,5940.87417945,5369.71277945,5010.04217945
2014,7,22,4674.40947945,4394.35877945,4223.81277945,4152.25477945,4247.34217945,4639.40877945,5549.01547945,6758.44717945,6575.36286829,5993.67409425,5509.14319995,5187.15182285,5047.96720815,5014.79391225,5005.75992715,5121.85071005,5447.40254185,6189.62998125,6656.42111787,6570.75277945,6475.00277945,5805.42417945,5325.53277945,5013.1521794499995
2014,7,23,4682.51947945,4359.69877945,4168.342779449999,4135.04477945,4189.20217945,4546.27877945,5308.24547945,6328.55717945,6150.64286829,5708.73079425,5306.49979995,5054.2685228499995,4964.433908149999,4927.643912249999,4956.91662715,5061.77541005,5434.43454185,6105.50128125,6544.10111787,6430.02817945,6257.95947945,5713.03677945,5275.56347945,4994.73547945
2014,7,24,4652.19947945,4317.59877945,4174.42277945,4126.29477945,4190.6121794499995,4519.23877945,5303.56547945,6206.33717945,6106.44286829,5658.41079425,5420.00979995,5209.99852285,5095.62390815,5051.833912249999,5049.41662715,5118.52541005,5383.03454185,5948.25128125,6434.12111787,6349.598179449999,6230.92947945,5665.936779449999,5253.983479449999,4970.385479449999
2014,7,25,4643.91947945,4385.60877945,4199.5127794499995,4168.6647794499995,4259.13217945,4604.678779450001,5406.18547945,6515.4871794499995,6425.34286829,5890.23409425,5539.6631999500005,5280.92182285,5066.647208150001,4972.99391225,4913.579927150001,4956.18071005,5293.28254185,5953.40998125,6509.18111787,6447.40277945,6349.00277945,5941.40417945,5441.46277945,5104.62217945
2014,7,26,4723.63947945,4413.56877945,4201.44277945,4120.25477945,4152.25217945,4298.61877945,4521.03547945,5046.57717945,5390.31286829,5289.88409425,4953.6231999500005,4609.13182285,4362.9772081500005,4240.7239122500005,4228.279927150001,4322.32071005,4655.07254185,5364.95998125,5861.10111787,5798.83277945,5712.25277945,5352.52417945,5107.27277945,4900.022179449999
2014,7,27,4584.189479449999,4297.43877945,4122.82277945,4050.12477945,4050.12217945,4121.36877945,4279.67547945,4646.55717945,4938.58286829,4858.89409425,4657.973199950001,4416.53182285,4242.287208150001,4157.21391225,4123.59992715,4288.54071005,4639.30254185,5419.9799812500005,5975.20111787,5853.04277945,5709.63277945,5284.8041794499995,4933.04277945,4726.07217945
2014,7,28,4474.38947945,4229.30877945,4106.96277945,4046.25477945,4073.10217945,4412.66877945,5188.90547945,6158.357179449999,6159.81286829,5738.89409425,5437.81319995,5130.84182285,4992.38720815,4865.02391225,4913.79992715,4982.35071005,5293.62254185,5964.20998125,6514.06111787,6396.19277945,6285.04277945,5722.62417945,5273.91277945,4956.4021794499995
2014,7,29,4597.33947945,4324.56877945,4145.69277945,4120.79477945,4186.98217945,4576.61877945,5468.90547945,6585.74717945,6345.13286829,5757.324094250001,5372.633199950001,5082.2618228500005,4904.747208150001,4864.21391225,4877.539927150001,4966.68071005,5295.05254185,6052.07998125,6604.77111787,6620.11277945,6485.29277945,5950.49417945,5456.3927794500005,5079.722179449999
2014,7,30,4716.57947945,4409.55877945,4207.61277945,4165.90477945,4242.45217945,4604.45877945,5509.84547945,6607.2371794499995,6382.28286829,5821.90079425,5358.66979995,5113.99852285,4869.523908149999,4826.923912249999,4812.51662715,4888.6854100499995,5208.514541850001,5979.05128125,6652.79111787,6674.83817945,6552.77947945,6005.94677945,5426.00347945,5079.0154794499995
